"id","tweetId","text","retweets","likes","type","isNewsRelated","userClassification","totalComments","totalQuotes","url","language","entities","createdAt","seenAt"
"d32761aa-0976-49d4-8980-cb64dd031166","1529833464576593923","Actor Kevin Spacey charged with four counts of sexual assault against three men in the UK, Crown Prosecution Service says

https://t.co/sGFTXcbC3f",837,2094,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE"",""AUTHOR_IS_NEWS_OUTLET""]",true,,259,248,"https://twitter.com/BBCBreaking/status/1529833464576593923","en","{""urls"":[{""start"":123,""end"":146,""url"":""https://t.co/sGFTXcbC3f"",""expanded_url"":""https://bbc.in/3sZfKHY"",""display_url"":""bbc.in/3sZfKHY"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1529833507748564993/EHQpm5hY?format=jpg&name=orig"",""width"":1024,""height"":576},{""url"":""https://pbs.twimg.com/news_img/1529833507748564993/EHQpm5hY?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Actor Kevin Spacey charged with sexual assault"",""description"":""Actor Kevin Spacey is charged with four counts of sexual assault against three men in the UK, prosecutors say."",""unwound_url"":""https://www.bbc.co.uk/news/uk-61597747?at_campaign=64&at_custom3=%40BBCBreaking&at_custom2=twitter&at_medium=custom7&at_custom4=02811B8A-DD01-11EC-A3BB-4A690EDC252D&at_custom1=%5Bpost+type%5D""}],""annotations"":[{""start"":6,""end"":17,""probability"":0.9027,""type"":""Person"",""normalized_text"":""Kevin Spacey""},{""start"":87,""end"":88,""probability"":0.9182,""type"":""Place"",""normalized_text"":""UK""},{""start"":91,""end"":115,""probability"":0.6652,""type"":""Organization"",""normalized_text"":""Crown Prosecution Service""}]}","2022-05-26T14:34:55.000Z","2022-05-31T11:09:12.000Z"
"d366a9dc-b6a8-4910-b236-0c85d526f405","1531591357365731329","India’s first all-women newsroom has faced death threats and discrimination while producing award-winning stories https://t.co/eNZ8JadF4M

https://t.co/7YAxud08pS",24,90,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE"",""AUTHOR_IS_NEWS_OUTLET""]",true,,4,2,"https://twitter.com/BBCWorld/status/1531591357365731329","en","{""annotations"":[{""start"":0,""end"":4,""probability"":0.9577,""type"":""Place"",""normalized_text"":""India""}],""urls"":[{""start"":114,""end"":137,""url"":""https://t.co/eNZ8JadF4M"",""expanded_url"":""https://bbc.in/3PRX8Dl"",""display_url"":""bbc.in/3PRX8Dl"",""status"":200,""title"":""'They refused to recognise us as journalists'"",""description"":""Khabar Lahariya is the first and only newsroom in India run entirely by women from marginalised backgrounds."",""unwound_url"":""https://www.bbc.com/news/av/world-asia-61587884""},{""start"":139,""end"":162,""url"":""https://t.co/7YAxud08pS"",""expanded_url"":""https://bbc.in/38D4Kco"",""display_url"":""bbc.in/38D4Kco""}]}","2022-05-31T11:00:09.000Z","2022-05-31T11:04:51.000Z"
"d3a68614-7b12-4850-be34-a6c1da4c8ee3","1531576972131934208","Unlike viruses like measles, which strike once and leave behind lifelong immunity, SARS-CoV-2 has proven that it’s capable of reinfecting people since at least the summer of 2020 https://t.co/WRgw7OHPBV",19,43,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE"",""AUTHOR_IS_NEWS_OUTLET""]",true,,9,2,"https://twitter.com/TIME/status/1531576972131934208","en","{""urls"":[{""start"":179,""end"":202,""url"":""https://t.co/WRgw7OHPBV"",""expanded_url"":""https://ti.me/3MSRrmQ"",""display_url"":""ti.me/3MSRrmQ""}],""annotations"":[{""start"":83,""end"":90,""probability"":0.2617,""type"":""Organization"",""normalized_text"":""SARS-CoV""}]}","2022-05-31T10:03:00.000Z","2022-05-31T10:46:18.000Z"
"d4d64d26-6f9a-4e95-9955-2770119ce504","1531584523816906752","Lithium is key to the electric vehicle transition. It's also in short supply https://t.co/7FfMQBHXZd",23,42,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE"",""AUTHOR_IS_NEWS_OUTLET""]",true,,7,2,"https://twitter.com/TIME/status/1531584523816906752","en","{""urls"":[{""start"":77,""end"":100,""url"":""https://t.co/7FfMQBHXZd"",""expanded_url"":""https://ti.me/3t10af4"",""display_url"":""ti.me/3t10af4"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1531584524836020230/hi5iaaOG?format=jpg&name=orig"",""width"":1024,""height"":512},{""url"":""https://pbs.twimg.com/news_img/1531584524836020230/hi5iaaOG?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Lithium Is Key to the EV Transition—And It's in Short Supply"",""description"":""Lithium prices are up 400%. Experts say the supply will get worse before it gets better"",""unwound_url"":""https://time.com/6182044/electric-vehicle-battery-lithium-shortage/?utm_source=twitter&utm_medium=social&utm_campaign=editorial&utm_term=climate_energy&linkId=166948139""}]}","2022-05-31T10:33:00.000Z","2022-05-31T10:45:52.000Z"
"d5ac0b28-6033-449c-8a3d-08747e80f50e","1531272173096255488","Getreide aus der Ukraine nach Russland verfrachtet https://t.co/wLfMhfCVlF #Ukraine #Getreide #Kämpfe",12,40,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE""]",true,,26,2,"https://twitter.com/tagesschau/status/1531272173096255488","de","{""urls"":[{""start"":51,""end"":74,""url"":""https://t.co/wLfMhfCVlF"",""expanded_url"":""http://www.tagesschau.de/ausland/europa/ukraine-getreide-russland-101.html"",""display_url"":""tagesschau.de/ausland/europa…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1531272216263925762/0RFpjlBl?format=jpg&name=orig"",""width"":1920,""height"":1080},{""url"":""https://pbs.twimg.com/news_img/1531272216263925762/0RFpjlBl?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Getreide aus der Ukraine nach Russland verfrachtet"",""description"":""Russland hat aus dem besetzten Schwarzmeergebiet Cherson Getreide ins eigene Land importiert. Währenddessen gehen die Kämpfe im Donbass weiter. In der Stadt Sjewjerodonezk gibt es ukrainischen Angaben zufolge heftige Straßengefechte."",""unwound_url"":""https://www.tagesschau.de/ausland/europa/ukraine-getreide-russland-101.html""}],""hashtags"":[{""start"":75,""end"":83,""tag"":""Ukraine""},{""start"":84,""end"":93,""tag"":""Getreide""},{""start"":94,""end"":101,""tag"":""Kämpfe""}]}","2022-05-30T13:51:50.000Z","2022-05-30T14:12:46.000Z"
"d5fcb73d-7949-455a-b894-79485832678e","1533079006861459459","Day 8 of #100DaysOfCode and I’m all done with the basics of CSS!! The next topic I’m going to be learning about is applied visual design on @freeCodeCamp which is super exciting!",3,0,"[""NORMAL""]",false,,0,0,"https://twitter.com/Benney4321/status/1533079006861459459","en","{""mentions"":[{""start"":140,""end"":153,""username"":""freeCodeCamp"",""id"":""1668100142""}],""hashtags"":[{""start"":9,""end"":23,""tag"":""100DaysOfCode""}]}","2022-06-04T13:31:33.000Z","2022-06-04T13:32:07.000Z"
"d6170334-821b-4c43-abf1-cfd095975a78","1533016164544172035","Priti Patel being compared to Dolores Umbridge from Harry Potter is just so spot on. Rowling’s description of character; ‘An evil, cruel, strict, despicable woman who represented the worst of political power, under a saccharine image ... sadistic and overwhelmingly corrupt’. 😬 https://t.co/rWmK7lTHLe",4368,23045,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE""]",false,,322,185,"https://twitter.com/mettlesome_teri/status/1533016164544172035","en","{""annotations"":[{""start"":0,""end"":10,""probability"":0.9361,""type"":""Person"",""normalized_text"":""Priti Patel""},{""start"":30,""end"":45,""probability"":0.9298,""type"":""Person"",""normalized_text"":""Dolores Umbridge""},{""start"":52,""end"":63,""probability"":0.8024,""type"":""Person"",""normalized_text"":""Harry Potter""},{""start"":85,""end"":91,""probability"":0.9272,""type"":""Person"",""normalized_text"":""Rowling""}],""urls"":[{""start"":278,""end"":301,""url"":""https://t.co/rWmK7lTHLe"",""expanded_url"":""https://twitter.com/mettlesome_teri/status/1533016164544172035/photo/1"",""display_url"":""pic.twitter.com/rWmK7lTHLe"",""media_key"":""3_1533016160819728386""}]}","2022-06-04T09:21:50.000Z","2022-06-05T18:29:15.000Z"
"d74ab528-d5b4-46c1-8d68-eebd12a4509c","1533364498312183808","Blocked 10 and Muted 43 , thank you @Twitter , wby? https://t.co/3pEcA0R690",0,9,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE""]",false,,3,0,"https://twitter.com/bookscache/status/1533364498312183808","en","{""urls"":[{""start"":52,""end"":75,""url"":""https://t.co/3pEcA0R690"",""expanded_url"":""https://twitter.com/bookscache/status/1533364498312183808/photo/1"",""display_url"":""pic.twitter.com/3pEcA0R690"",""media_key"":""3_1533364490594549761""}],""mentions"":[{""start"":36,""end"":44,""username"":""Twitter"",""id"":""783214""}]}","2022-06-05T08:25:59.000Z","2022-06-05T18:29:09.000Z"
"d8223674-d309-433e-8146-b22c69f07609","1531270478370848769","The US Food and Drug Administration is investigating a potential link between a hepatitis A outbreak and fresh organic strawberries.
https://t.co/NfGg1snNr3",82,129,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE"",""AUTHOR_IS_NEWS_OUTLET""]",true,,26,25,"https://twitter.com/CNN/status/1531270478370848769","en","{""annotations"":[{""start"":4,""end"":34,""probability"":0.3403,""type"":""Organization"",""normalized_text"":""US Food and Drug Administration""}],""urls"":[{""start"":133,""end"":156,""url"":""https://t.co/NfGg1snNr3"",""expanded_url"":""https://cnn.it/3wWvopW"",""display_url"":""cnn.it/3wWvopW""}]}","2022-05-30T13:45:06.000Z","2022-05-30T14:12:53.000Z"
"da5f6f28-5cda-4b7d-812f-045b0d64ffbc","1532399905217597440","Why Johnny Depp lost in the UK but won in the US https://t.co/X5xheiDw2C",13,47,"[""NORMAL"",""CONTAINS_NEWS_ARTICLE"",""AUTHOR_IS_NEWS_OUTLET""]",true,,6,0,"https://twitter.com/BBCWorld/status/1532399905217597440","en","{""urls"":[{""start"":49,""end"":72,""url"":""https://t.co/X5xheiDw2C"",""expanded_url"":""https://bbc.in/38GMxdQ"",""display_url"":""bbc.in/38GMxdQ"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1532399947890425857/EWdIPc3p?format=jpg&name=orig"",""width"":1024,""height"":576},{""url"":""https://pbs.twimg.com/news_img/1532399947890425857/EWdIPc3p?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Depp-Heard trial: Why Johnny Depp lost in the UK but won in the US"",""description"":""Experts say key factors included having a jury trial and his lawyers using a specific legal tactic."",""unwound_url"":""https://www.bbc.com/news/world-us-canada-61673676?xtor=AL-72-%5Bpartner%5D-%5Bbbc.news.twitter%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D&at_medium=custom7&at_custom4=7942154C-E280-11EC-B950-42A531EBDC67&at_custom3=%40BBCWorld&at_custom2=twitter&at_custom1=%5Bpost+type%5D&at_campaign=64""}],""annotations"":[{""start"":4,""end"":14,""probability"":0.9959,""type"":""Person"",""normalized_text"":""Johnny Depp""},{""start"":28,""end"":29,""probability"":0.9709,""type"":""Place"",""normalized_text"":""UK""},{""start"":46,""end"":47,""probability"":0.9455,""type"":""Place"",""normalized_text"":""US""}]}","2022-06-02T16:33:02.000Z","2022-06-02T16:34:57.000Z"
